% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
3,0,23,15,6.008044980209174E-8,0.1478886680312787,0.015420490076668531,0,-105.0166597525955,3639.4710750373943
3,0,24,15,5.949006421657084E-8,0.14643542761521722,0.015268959335921385,0,-105.01665975259552,3603.6239238844805
3,0,25,15,5.89339187906819E-8,0.14506646971730977,0.01512621681236578,0,-105.01665975259547,3569.8548323320847
3,0,26,15,5.840978022613311E-8,0.14377629704998984,0.014991689298672938,0,-105.01665975259544,3538.028243384872
3,0,27,15,5.791460359141363E-8,0.1425574144818649,0.014864595270465054,0,-105.01665975259542,3507.959265674562
3,0,28,15,5.744536505519449E-8,0.14140237881986528,0.014744158619021971,0,-105.01665975259547,3479.4644634249576
3,0,29,15,5.699956506487842E-8,0.14030503738861144,0.014629737799113121,0,-105.01665975259552,3452.3923376673515
3,0,30,15,5.657505515792854E-8,0.13926010172465253,0.014520781377695993,0,-105.01665975259544,3426.6127280974483
3,0,31,15,5.616894729167131E-8,0.13826046288014246,0.01441654809811328,0,-105.01665975259537,3401.950672117958
3,0,32,15,5.578217716368371E-8,0.1373084240846476,0.014317278120271369,0,-105.01665975259546,3378.4628582719133
3,0,33,15,5.541157167183055E-8,0.1363961747134165,0.014222157023004191,0,-105.01665975259547,3355.9571192633243
3,0,34,15,5.505712667536299E-8,0.1355237045739517,0.01413118374353047,0,-105.01665975259546,3334.433204322904
3,0,35,15,5.471961309469835E-8,0.13469291129508343,0.014044556149387549,0,-105.01665975259553,3313.937801419012
3,0,36,15,5.4393643022821985E-8,0.1338905324862254,0.013960891358674135,0,-105.01665975259556,3294.1445677008105
3,0,37,15,5.4081462683810295E-8,0.1331220972519009,0.013880765896302948,0,-105.01665975259547,3275.189555844556
3,0,38,15,5.378259498443808E-8,0.13238643122204719,0.013804057309606491,0,-105.01665975259553,3257.043856704517
3,0,39,15,5.349335352636157E-8,0.13167446028782043,0.013729819432747677,0,-105.01665975259547,3239.4841177423814
3,0,40,15,5.3215665593657276E-8,0.13099092847953214,0.01365854693021511,0,-105.01665975259546,3222.6271097871263
3,0,41,15,5.2947709656595306E-8,0.130331352082323,0.013589772280856454,0,-105.01665975259546,3206.3623566049973
3,0,42,15,5.268647580561947E-8,0.1296883221717155,0.013522722949169825,0,-105.01665975259542,3190.507306428542
3,0,43,15,5.2433885213891117E-8,0.1290665677359383,0.013457892031191725,0,-105.01665975259547,3175.1784788905347
3,0,44,15,5.218993788141021E-8,0.12846608877499138,0.013395279526922146,0,-105.01665975259547,3160.375873990985
3,0,45,15,5.195463380817679E-8,0.1278868852888748,0.0133348854363611,0,-105.01665975259552,3146.0994917298876
3,0,46,15,5.172797299419084E-8,0.12732895727758847,0.013276709759508589,0,-105.01665975259552,3132.3493321072365
3,0,47,15,5.150615398366111E-8,0.12678294741715437,0.013219776799419942,0,-105.01665975259553,3118.8944588842437
3,0,48,15,5.129085800437764E-8,0.12625299406771034,0.013164518066786904,0,-105.01665975259552,3105.8370056759472
3,0,49,15,5.1082764323881675E-8,0.12574076925355454,0.013111107905150696,0,-105.01665975259546,3093.2182375922894
3,0,50,15,5.088187294217323E-8,0.12524627297468693,0.01305954631451135,0,-105.01665975259542,3081.0381546332433
3,0,51,15,5.06881838592523E-8,0.1247695052311076,0.013009833294868864,0,-105.01665975259542,3069.2967567988344
3,0,52,15,5.050042370893394E-8,0.12430733161836995,0.012961642018932759,0,-105.01665975259544,3057.9166250568696
3,0,53,15,5.0315105123927916E-8,0.12385116794469138,0.012914077404977287,0,-105.01665975259544,3046.685731945321
3,0,54,15,5.0135284713005326E-8,0.12340853808516505,0.01286792397451282,0,-105.01665975259544,3035.789915360291
3,0,55,15,4.9960962476166176E-8,0.12297944203979096,0.012823181727539393,0,-105.01665975259544,3025.229175301784
3,0,56,15,4.979213841341046E-8,0.12256387980856907,0.01277985066405695,0,-105.01665975259544,3015.0035117697994
3,0,57,15,4.9628812524738195E-8,0.12216185139149943,0.01273793078406554,0,-105.01665975259544,3005.112924764351
3,0,58,15,4.946830264745822E-8,0.12176675461650868,0.012696733672892814,0,-105.01665975259544,2995.3940936082126
3,0,59,15,4.9311022081100166E-8,0.12137960682479747,0.012656365409659674,0,-105.0166597525955,2985.8721846939193
3,0,60,15,4.915799327568825E-8,0.12100292478800621,0.012617088420504763,0,-105.01665975259546,2976.609456448549
3,0,61,15,4.900921623122246E-8,0.12063670850613492,0.012578902705428082,0,-105.01665975259542,2967.605908872111
3,0,62,15,4.886469094770278E-8,0.12028095797918359,0.012541808264429665,0,-105.01665975259547,2958.8615419645957
3,0,63,15,4.8724112909365324E-8,0.11993492363835126,0.012505726939267797,0,-105.01665975259547,2950.3577864171366
3,0,64,15,4.8585034526648716E-8,0.11959258071582562,0.012470030521753854,0,-105.01665975259544,2941.9453887199097
