% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
3.66,1.1733200650973642E-6,2.2125805535369137E-6,12.820353288778332,2.8670062181547797E-6,-1.4851430998303952E-10,-1.822274729536485E-11,6.499493571476703E-9,-4.983794278179281E-11,-1.5569529021528624E-12,6.484061629108246E-9,-9.867636720124659E-11,-1.6665794393212E-11,1.543194236845957E-11
3.76,1.211499032833667E-6,2.212582422646193E-6,12.820364118956363,2.9602964815354037E-6,-1.5469402125795987E-10,-1.873614150018071E-11,6.711821782795342E-9,-5.254268095608667E-11,-1.5571070562247776E-12,6.695395412946732E-9,-1.0215134030187318E-10,-1.7179034443955894E-11,1.6426369848626462E-11
3.86,1.250035587601125E-6,2.2125843414224175E-6,12.82037523691952,3.0544605084119083E-6,-1.608514969707406E-10,-1.9234015903238883E-11,6.926464004546319E-9,-5.52844628510253E-11,-1.5572395828473608E-12,6.909022393964692E-9,-1.0556703411971533E-10,-1.767677632039151E-11,1.7441610581634215E-11
3.96,1.2888707126839576E-6,2.2125863164480687E-6,12.820386680808676,3.149354091507717E-6,-1.6693199684688323E-10,-1.9711043525169355E-11,7.142053044359833E-9,-5.804173019768579E-11,-1.5573743216136342E-12,7.123582268106926E-9,-1.0889026664919742E-10,-1.8153669203555754E-11,1.847077625290202E-11
4.06,1.3275995519196304E-6,2.2125883443437894E-6,12.820398431042824,3.243987965259273E-6,-1.7289848971357976E-10,-2.0164429068844144E-11,7.357238055444557E-9,-6.079800044579575E-11,-1.5575111288889623E-12,7.337734590232765E-9,-1.1210048926778415E-10,-1.8606917939955213E-11,1.950346521178774E-11
4.16,1.3659707847613056E-6,2.212590420137469E-6,12.820410458812065,3.3377480282018755E-6,-1.7871952293504776E-10,-2.0592650245008744E-11,7.57057323165703E-9,-6.353701783259576E-11,-1.5576307654656769E-12,7.550041331091957E-9,-1.1518250510245202E-10,-1.9035019479543123E-11,2.0531900565090433E-11
4.26,1.4037660449988093E-6,2.212592537683722E-6,12.820422728508202,3.430100702754247E-6,-1.8436045925295272E-10,-2.0993505710192194E-11,7.78066961181593E-9,-6.62415514425411E-11,-1.5577405659329283E-12,7.759122062876658E-9,-1.1811890781041164E-10,-1.943576514425927E-11,2.154754893926195E-11
4.36,1.4407075662998697E-6,2.212594690314141E-6,12.820435201492485,3.5203672672056487E-6,-1.8977766136823881E-10,-2.1364729650319808E-11,7.985839555840567E-9,-6.888635331626792E-11,-1.5578383551814806E-12,7.963299081462677E-9,-1.208913080519708E-10,-1.980689129513825E-11,2.2540474377882954E-11
4.46,1.4764828489682995E-6,2.212596871382125E-6,12.820447839252523,3.6077841289109158E-6,-1.9494447625263605E-10,-2.1704636695965176E-11,8.184759769127244E-9,-7.145843939185453E-11,-1.5579243538641064E-12,8.161259352345565E-9,-1.2348603686078148E-10,-2.0146712342101036E-11,2.3500416781683276E-11
4.56,1.5108881888762443E-6,2.2125990741082123E-6,12.820460602506088,3.691853537069912E-6,-1.9982203923087103E-10,-2.2012003558124214E-11,8.376082912794012E-9,-7.393237314092269E-11,-1.5579982264462468E-12,8.351663896717431E-9,-1.258896660899485E-10,-2.0454005331678044E-11,2.4419016076573827E-11
4.66,1.5437129279632435E-6,2.2126012918706075E-6,12.820473452884517,3.7720607489562347E-6,-2.0439308664496E-10,-2.2285947276265685E-11,8.55842137144736E-9,-7.62994549300297E-11,-1.5580598738928396E-12,8.533133333412337E-9,-1.2809363171493009E-10,-2.072788740237284E-11,2.5288038035019673E-11
4.76,1.5747134297985857E-6,2.212603518423754E-6,12.82048635419919,3.847810439234024E-6,-2.086206523074991E-10,-2.252599822569392E-11,8.730767489814182E-9,-7.853125468317854E-11,-1.5581092754522825E-12,8.704668314142875E-9,-1.3008939762432092E-10,-2.09678889502417E-11,2.609917567133026E-11
4.86,1.6037472488836746E-6,2.2126057475740397E-6,12.820499270562458,3.918754542492691E-6,-2.125070236793277E-10,-2.2732173749462748E-11,8.892147311265222E-9,-8.063306539832901E-11,-1.5581465844480784E-12,8.865300830229627E-9,-1.3187395828099915E-10,-2.1174027165014578E-11,2.6846481035594406E-11
4.96,1.6306728628591353E-6,2.212607973914945E-6,12.820512170647339,3.984547249011246E-6,-2.1601404617545197E-10,-2.2905000541878882E-11,9.041706580738014E-9,-8.256905168717956E-11,-1.558172135894659E-12,9.014181699599308E-9,-1.3344499448827242E-10,-2.1346828405984242E-11,2.7524881138667833E-11
5.06,1.6554164187511566E-6,2.212610192011757E-6,12.82052502296348,4.0450080991338355E-6,-2.1917303484647774E-10,-2.3045537864468237E-11,9.179351309524833E-9,-8.436628506986432E-11,-1.5581864523394082E-12,9.151219880538703E-9,-1.3480674977661305E-10,-2.1487351412128873E-11,2.8131428986096963E-11
5.16,1.6779029470462002E-6,2.212612397451495E-6,12.820537801940748,4.0999539049411E-6,-2.219404687084859E-10,-2.3155414186937144E-11,9.304014754462195E-9,-8.59769131371826E-11,-1.5581902517613494E-12,9.275350466238246E-9,-1.3596355557130351E-10,-2.1597223935175793E-11,2.866428822394551E-11
5.26,1.6981916026493265E-6,2.212614586118676E-6,12.820550483732806,4.149529211374932E-6,-2.2438558423611508E-10,-2.323686325288755E-11,9.417022889270195E-9,-8.745866358475054E-11,-1.558184461159884E-12,9.387897742006195E-9,-1.3692692065136463E-10,-2.1678678791727657E-11,2.912514726399606E-11
5.36,1.7162251136489659E-6,2.2126167547772618E-6,12.820563049589083,4.193594074585843E-6,-2.2645202168483785E-10,-2.3292756604738323E-11,9.517127896556205E-9,-8.87414046766025E-11,-1.5581702253436382E-12,9.487612880922721E-9,-1.3771061700823523E-10,-2.173458637939477E-11,2.9515015633516334E-11
5.46,1.7324167614452537E-6,2.212618900736174E-6,12.82057548391666,4.233158347195693E-6,-2.282735290098704E-10,-2.3326636401753515E-11,9.607319164420754E-9,-8.993955532358236E-11,-1.5581489184401726E-12,9.5774748106567E-9,-1.3833397368628794E-10,-2.1768487483313423E-11,2.984435376405199E-11
5.56,1.7464447481293212E-6,2.2126210226039587E-6,12.820587778653042,4.267435716387436E-6,-2.297577756943052E-10,-2.3342749193502232E-11,9.68581623178636E-9,-9.093701411063093E-11,-1.558122152414353E-12,9.655703868227403E-9,-1.3882076158367403E-10,-2.1784627041087974E-11,3.011236355894925E-11
5.66,1.7593869100678384E-6,2.2126231191417238E-6,12.820599926619717,4.299059874072845E-6,-2.3109801700352893E-10,-2.3346079592170904E-11,9.757069156873345E-9,-9.189827427220902E-11,-1.5580917877017247E-12,9.72672539568848E-9,-1.3919974273132016E-10,-2.178798780446921E-11,3.0343761184893803E-11
5.76,1.770282102636371E-6,2.2126251916984327E-6,12.820611935632986,4.325682264476937E-6,-2.321793960406938E-10,-2.334238368999328E-11,9.818900223084706E-9,-9.267047941427543E-11,-1.5580599428046579E-12,9.788370719649615E-9,-1.3950891662641833E-10,-2.178432374718858E-11,3.052950343510426E-11
5.86,1.7814808740532998E-6,2.2126272401626794E-6,12.82062380504732,4.35304644944497E-6,-2.3330971985705346E-10,-2.333795773969741E-11,9.879940384768833E-9,-9.35335894860174E-11,-1.5580289650579496E-12,9.849221708915605E-9,-1.3977613037103645E-10,-2.1779928774639436E-11,3.0718675853224914E-11
5.96,1.790341069004831E-6,2.212629269321372E-6,12.820635562599502,4.374696325532273E-6,-2.341887840623067E-10,-2.3335755329599892E-11,9.930348420354905E-9,-9.413952025940543E-11,-1.5580007286854386E-12,9.89947867769157E-9,-1.400492638029013E-10,-2.177775460091435E-11,3.086974266333634E-11
6.06,1.8015710946278954E-6,2.2126312754262188E-6,12.820647186570813,4.402136880116744E-6,-2.353406249535629E-10,-2.3334847266546217E-11,9.9919501598357E-9,-9.507242499414077E-11,-1.5579746628772195E-12,9.960887477429917E-9,-1.40268199959422E-10,-2.1776872603669007E-11,3.106268240578603E-11
6.16,1.8078410247899042E-6,2.2126332710976234E-6,12.820658750087638,4.417457447195252E-6,-2.3604559874719145E-10,-2.3334233083998465E-11,1.0027187189941444E-8,-9.547054543970142E-11,-1.5579493746641102E-12,9.996017111413696E-9,-1.405750533074902E-10,-2.1776283709334302E-11,3.1170078527786765E-11
6.26,1.8205785892891185E-6,2.2126352327713168E-6,12.820670116611556,4.448581671275025E-6,-2.3712538979190056E-10,-2.3333854261781484E-11,1.010160533028783E-8,-9.64869696069945E-11,-1.5579244789336918E-12,1.0070216120938785E-8,-1.40638420184906E-10,-2.1775929782847836E-11,3.1389209349047183E-11
6.36,1.8222811918790783E-6,2.212637216550304E-6,12.820681611220156,4.452741978728776E-6,-2.3822265717123963E-10,-2.333374752124845E-11,1.0108442704227203E-8,-9.698105585290067E-11,-1.5578998834564952E-12,1.0077024282880539E-8,-1.4124160131833912E-10,-2.1775847637791965E-11,3.141842134664774E-11
6.45,1.833642038519814E-6,2.2126389457938794E-6,12.820691630974476,4.480502194318195E-6,-2.3687374087754593E-10,-2.33337802121786E-11,1.0179727723902999E-8,-9.576345224090123E-11,-1.5578780455437306E-12,1.014811345007414E-8,-1.4111028863664465E-10,-2.177590216663493E-11,3.161427382885846E-11
6.54,1.8415106414033872E-6,2.2126406973676385E-6,12.820701780116556,4.499729116337582E-6,-2.3863760408470655E-10,-2.3333848550919197E-11,1.0178950441482953E-8,-9.708912718541688E-11,-1.5578560614506656E-12,1.0147200505591922E-8,-1.415484768992899E-10,-2.177599248946848E-11,3.174993589103029E-11
6.6209999999999996,1.8427586140586864E-6,2.2126422413324715E-6,12.820710726310445,4.502778536073295E-6,-2.386070946713629E-10,-2.3333940121891042E-11,1.0217145061508922E-8,-9.705735904433991E-11,-1.5578363982601295E-12,1.0185373580046953E-8,-1.4154973562702286E-10,-2.1776103723630936E-11,3.177148146195547E-11
6.701999999999999,1.8498572779914197E-6,2.212643779968395E-6,12.82071964162704,4.520124113159332E-6,-2.3934887823920817E-10,-2.3334037175269687E-11,1.0249696884654989E-8,-9.769741889065713E-11,-1.5578168802201165E-12,1.0217802978529749E-8,-1.4165145934855144E-10,-2.177622029504954E-11,3.1893906125237554E-11
6.802,1.8549995517582431E-6,2.2126456708798843E-6,12.820730598133592,4.532689253144143E-6,-2.4020413285694287E-10,-2.33341619564609E-11,1.0285234791388386E-8,-9.838328572138401E-11,-1.5577924939934556E-12,1.0253252176503055E-8,-1.4182084713555894E-10,-2.1776369462467448E-11,3.198261488532124E-11
6.901999999999999,1.8613868152643965E-6,2.212647554977173E-6,12.820741515156623,4.548296524112973E-6,-2.4091588550994356E-10,-2.3334289463777463E-11,1.0318738085014234E-8,-9.890308710864346E-11,-1.557768593281321E-12,1.0286645292660498E-8,-1.4201279840130056E-10,-2.177652087049624E-11,3.209279235377946E-11
7.001999999999999,1.8670806084550878E-6,2.2126494273873643E-6,12.820752364461123,4.56220930117031E-6,-2.4163130106276597E-10,-2.3334417827002548E-11,1.0355870999153939E-8,-9.944884505187255E-11,-1.5577444406251125E-12,1.0323679983052895E-8,-1.4218245601089375E-10,-2.1776673386377363E-11,3.219101610102417E-11
7.101999999999999,1.873961430326534E-6,2.2126512890311787E-6,12.820763151382017,4.579022581432266E-6,-2.4230893133607914E-10,-2.3334546110761855E-11,1.0390292705496056E-8,-9.99547270326401E-11,-1.5577202386584986E-12,1.0357982998068206E-8,-1.4235420430343922E-10,-2.1776825872103306E-11,3.230970742783336E-11
7.201999999999999,1.8796214162349629E-6,2.212653141191642E-6,12.820773883353537,4.592852750434599E-6,-2.43005748472574E-10,-2.3334673557586177E-11,1.0424634115229115E-8,-1.0047764649580238E-10,-1.5576960378476437E-12,1.0392226764567883E-8,-1.4252810197677158E-10,-2.1776977519738515E-11,3.2407350661231906E-11
7.302,1.8859215356892626E-6,2.2126549835254246E-6,12.820784558386334,4.608247085013798E-6,-2.436779133169815E-10,-2.333479968574758E-11,1.0457328478966277E-8,-1.0097839418498814E-10,-1.5576718505499501E-12,1.0424812447966798E-8,-1.4269951913199334E-10,-2.1777127835197693E-11,3.2516030999472954E-11
7.401999999999999,1.8913936995424106E-6,2.212656816937572E-6,12.820795181724502,4.6216183110419095E-6,-2.4433793387703016E-10,-2.3334924193129403E-11,1.0489324743222288E-8,-1.0146696520365642E-10,-1.5576476795470658E-12,1.0456714307076114E-8,-1.428709686733739E-10,-2.1777276513582344E-11,3.261043614617305E-11
7.501999999999999,1.8972422149939242E-6,2.2126586414913297E-6,12.82080575373452,4.635909151764099E-6,-2.4498146939229615E-10,-2.3335046916233213E-11,1.052033955782842E-8,-1.0194099142629103E-10,-1.5576235252567816E-12,1.0487628227922911E-8,-1.4304047796600516E-10,-2.1777423390976468E-11,3.271132990547596E-11
